14870,https://zh.moegirl.org/%E5%B7%A5%E4%BD%9C%E7%BB%86%E8%83%9E,花粉症 百度百科,0,0.66613775
9714,http://www.fukupon.com/gourmet/detail/news/?store_id=52&pageid=5&,花粉症 ごぼう茶,0,0.35530415
14727,https://www.lab.toho-u.ac.jp/med/omori/kensa/column/column20150127.html,花粉症 尿の色,0,0.34987473
16483,https://recipe.rakuten.co.jp/recipe/1510016840/,花粉症 じゃばらジャム,1,0.4892646
1147,https://www.nielsen.com/jp/ja/insights/newswire-j/press-release-chart/over-the-counter-allergy-medicines-get-a-slow-start-as-pollen-se.html,花粉症 otc,1,0.4754784
91,https://www.youtube.com/watch?v=UI6aoDMvdpk,花粉症 を英語で,2,0.6424395
9734,http://www.matsutani-ent.com/media,花粉症 声枯れ,2,0.36060375
14198,https://benifuuki.org/diary.cgi?field=9,花粉症 茶葉,3,0.47208428
791,https://mainichi.jp/articles/20180202/k00/00e/040/258000c,花粉症 うざい,4,0.98150945
2979,https://www.juntendo.ac.jp/news/20180201-02.html,花粉症 早期治療,4,0.9593812
6299,http://www.e-doctors-net.com/shizuoka/izu/suzuki/,花粉症 味がしない,4,0.76793194
11712,https://www.taiho.co.jp/medical/brand/bilanoa/clinical/exam01/,花粉症 ビラノア,4,0.74484813
11715,https://www.taiho.co.jp/medical/brand/bilanoa/characteristic/,花粉症 ビラノア,4,0.7447175
8134,https://m-d-l.co.jp/news/new/%E8%8A%B1%E7%B2%89%E7%97%87%E4%BA%88%E9%98%B2researchkit%E3%82%A2%E3%83%97%E3%83%AA%E3%80%8C%E3%82%A2%E3%83%AC%E3%83%AB%E3%82%B5%E3%83%BC%E3%83%81%E3%80%8D%E3%81%8C%E3%80%81itmedia%E3%83%93%E3%82%B8/,花粉症 レベル6,4,0.6864519
1158,https://www.m3.com/open/clinical/news/article/514447/,花粉症 otc,4,0.60407346
115,https://www.intage.co.jp/gallery/hayfever/,花粉症 有効な食べ物,4,0.57711554
16366,https://mainichi.jp/premier/health/articles/20170324/med/00m/010/010000c,花粉症 ぎょう虫,4,0.5529747
2611,https://corp.earth.jp/jp/news/2017/1207-01.html,花粉症 男女比,4,0.49341726
7152,http://www.fukushihoken.metro.tokyo.jp/allergy/info/2017121801.html,花粉症 標準治療,4,0.4927338
10832,https://medical-tribune.co.jp/rensai/2018/0427514070/,花粉症 第一選択薬,4,0.4911399
16281,https://www.j-cast.com/trend/2018/01/30319944.html,花粉症 業務効率,4,0.41085663
4834,http://www.nichigan.or.jp/member/guideline/allergy-2.jsp,花粉症 標準治療,4,0.4046375
4275,http://ronso.co.jp/book/%E8%8A%B1%E7%B2%89%E7%97%87/,花粉症 治したい,4,0.40439448
11343,https://www.swim.or.jp/about/anti_d.php,花粉症 ペアコール,4,0.38167346
16782,http://www.tanpopokodomo-clinic.com/wp/23/24/,花粉症 びゃっこかにんじんとう,4,0.35909504
10802,https://www.nrc.co.jp/report/150420.html,花粉症 男女比,4,0.32915553
15786,https://www.news-medical.net/news/20170522/2997/Japanese.aspx,花粉症 流行マップ,4,0.32690403
13999,http://www.nrc.co.jp/report/180423.html,花粉症 処方薬,4,0.32265204
11816,http://www.mizumachi.jp/backnumber.html,花粉症 ブロック注射,4,0.30673924
10904,https://www.parksideclinic.jp/colum/kahun12_3.html,花粉症 両鼻 づまり,5,0.79061234
14033,https://www.jstage.jst.go.jp/article/arerugi/52/11/52_KJ00000817431/_pdf,花粉症 初期療法,5,0.6118073
1916,https://www.jstage.jst.go.jp/article/jjrhi/49/4/49_4_481/_pdf,花粉症 経済損失,5,0.5381592
10519,https://www.jstage.jst.go.jp/article/arerugi/47/2-3/47_KJ00001609981/_pdf,花粉症 全身症状,5,0.5354506
16777,http://www.ishiguro-jibika.com/medicine/,花粉症 びゃっこかにんじんとう,5,0.50866914
576,https://www.jstage.jst.go.jp/article/orltokyo1958/50/3/50_3_157/_pdf,花粉症 ige,5,0.48925617
4888,https://www.parksideclinic.jp/colum/kahun12_nodo.html,花粉症 喉のかゆみ,5,0.4578769
1229,https://www.parksideclinic.jp/internal/hayfever,花粉症 即効性,5,0.40221938
1186,https://ja.wikipedia.org/wiki/%E5%9B%9E%E8%99%AB,花粉症 お腹痛い,5,0.3990679
6305,https://latte.la/column/30180966,花粉症 耳つぼ,5,0.397299
1179,http://www.riseisha.ac.jp/risei-sinkyu/tsubo/tsubo56.html,花粉症 お灸,5,0.36370575
16669,http://www.uchimoto-gekanaika.com/specialty.html,花粉症 受診勧奨,5,0.3557937
6886,https://www.jstage.jst.go.jp/article/jibi/57/3/57_3_89/_article/-char/ja/,花粉症 問診票,5,0.3287209
8716,https://www.asahigroup-holdings.com/research/entertainment/l92_mng01/,花粉症 nk細胞,6,0.94842106
1058,https://www.hakuhodo.co.jp/archives/newsrelease/46974,花粉症 お風呂,6,0.5710611
12141,https://news.mynavi.jp/article/20150306-a081/,花粉症 勉強できない,6,0.52586114
11819,https://www.nagoya-pain.jp/faq/index.html,花粉症 ブロック注射,6,0.50861263
7247,http://www.hemp.jp/collect/index.php?health_081,花粉症 有効な食べ物,6,0.46793464
1149,https://www.j-cast.com/kaisha/2018/10/08340596.html?p=all,花粉症 otc,6,0.44114473
2336,https://gendai.ismedia.jp/articles/-/41561,花粉症 最新薬,6,0.3654633
23,https://answers.ten-navi.com/pharmanews/8124/,花粉症 治療薬,8,0.45222723
