14870,https://zh.moegirl.org/%E5%B7%A5%E4%BD%9C%E7%BB%86%E8%83%9E,花粉症 百度百科,0,0.66613775,100
9714,http://www.fukupon.com/gourmet/detail/news/?store_id=52&pageid=5&,花粉症 ごぼう茶,0,0.35530415,100
14727,https://www.lab.toho-u.ac.jp/med/omori/kensa/column/column20150127.html,花粉症 尿の色,0,0.34987473,100
16483,https://recipe.rakuten.co.jp/recipe/1510016840/,花粉症 じゃばらジャム,1,0.4892646,100
1147,https://www.nielsen.com/jp/ja/insights/newswire-j/press-release-chart/over-the-counter-allergy-medicines-get-a-slow-start-as-pollen-se.html,花粉症 otc,1,0.4754784,100
91,https://www.youtube.com/watch?v=UI6aoDMvdpk,花粉症 を英語で,2,0.6424395,100
9734,http://www.matsutani-ent.com/media,花粉症 声枯れ,2,0.36060375,100
14198,https://benifuuki.org/diary.cgi?field=9,花粉症 茶葉,3,0.47208428,100
791,https://mainichi.jp/articles/20180202/k00/00e/040/258000c,花粉症 うざい,4,0.98150945,100
2979,https://www.juntendo.ac.jp/news/20180201-02.html,花粉症 早期治療,4,0.9593812,100
6299,http://www.e-doctors-net.com/shizuoka/izu/suzuki/,花粉症 味がしない,4,0.76793194,100
11712,https://www.taiho.co.jp/medical/brand/bilanoa/clinical/exam01/,花粉症 ビラノア,4,0.74484813,100
11715,https://www.taiho.co.jp/medical/brand/bilanoa/characteristic/,花粉症 ビラノア,4,0.7447175,100
8134,https://m-d-l.co.jp/news/new/%E8%8A%B1%E7%B2%89%E7%97%87%E4%BA%88%E9%98%B2researchkit%E3%82%A2%E3%83%97%E3%83%AA%E3%80%8C%E3%82%A2%E3%83%AC%E3%83%AB%E3%82%B5%E3%83%BC%E3%83%81%E3%80%8D%E3%81%8C%E3%80%81itmedia%E3%83%93%E3%82%B8/,花粉症 レベル6,4,0.6864519,100
1158,https://www.m3.com/open/clinical/news/article/514447/,花粉症 otc,4,0.60407346,100
115,https://www.intage.co.jp/gallery/hayfever/,花粉症 有効な食べ物,4,0.57711554,100
16366,https://mainichi.jp/premier/health/articles/20170324/med/00m/010/010000c,花粉症 ぎょう虫,4,0.5529747,100
2611,https://corp.earth.jp/jp/news/2017/1207-01.html,花粉症 男女比,4,0.49341726,100
7152,http://www.fukushihoken.metro.tokyo.jp/allergy/info/2017121801.html,花粉症 標準治療,4,0.4927338,100
10832,https://medical-tribune.co.jp/rensai/2018/0427514070/,花粉症 第一選択薬,4,0.4911399,100
16281,https://www.j-cast.com/trend/2018/01/30319944.html,花粉症 業務効率,4,0.41085663,100
4834,http://www.nichigan.or.jp/member/guideline/allergy-2.jsp,花粉症 標準治療,4,0.4046375,100
4275,http://ronso.co.jp/book/%E8%8A%B1%E7%B2%89%E7%97%87/,花粉症 治したい,4,0.40439448,100
