11840
0		11840
77204	$1	1
68567	$2	1
68749	$6	1
23670	&	3
23478	((	3
54763	()	6
25677	(ry	1
48666	(有)	2
78007	(有)ケイ	1
18063	(株)	25
64102	(株)VOYAGE	3
77953	(株)アヴァンティスタッフ	1
83960	(株)インテック	1
62000	(株)カプコン	1
33417	(株)ジャフコ	1
61403	(株)ディー・エヌ・エー	1
74139	(株)トラスト・テック	1
69168	(株)マクロミル	1
83961	(株)リッチェル	1
57680	(株)三菱東京UFJ銀行	1
57681	(株)中日新聞社	1
63371	(株)佐賀電算センター	1
83962	(株)北陸銀行	1
77101	(株)日本レーザー	1
80759	(株)日本旅行	1
80760	(株)日本旅行北海道	1
64103	(株)朝日新聞社	3
66241	(財)	2
67127	+d	1
1991	-1	250
1992	-2	172
2394	-3	131
7495	-4	95
67606	.NET	2
22171	.S	18
872	.com	515
67757	.es	1
50660	.fr	1
873	.jp	367
2395	.jpg	14
52789	.mac	1
4033	.net	92
6784	.new	3
1518	.s	85
57307	.zip	1
45069	.日本	5
13070	0%	47
60384	0.1%	2
30454	0.1mm	2
52848	0.2%	2
47611	0.2kg	1
58362	0.2mm	1
70313	0.2度	1
29871	0.3%	6
47612	0.3cm	1
71397	0.3mm	1
35017	0.5%	5
46337	0.58kg	1
71832	0.5cm	1
28244	0.5mm	11
48629	0.5ミリ	2
69921	0.5倍	1
79151	0.6%	1
35544	0.6cm	1
69818	0.6倍	1
46004	0.7mm	13
69819	0.7倍	1
82385	0.8%	1
81928	0.85kg	1
69820	0.9倍	1
5462	00	294
2096	000	383
1863	0000	34
18009	00000	1
2396	000000001	1
48472	000000030	1
48473	000000047	1
48474	000000056	1
71712	00000006	1
20359	0000001181	1
62276	00000019	1
60385	0000016	1
71175	000002470	1
2397	000006582	1
61174	0000075611	1
60386	00001	3
11629	0000117743	1
69416	0000133086	1
30596	0000188813	1
78462	0000205940	1
48475	000027235	1
36031	0001	5
22042	000101644	1
46338	00014	1
43015	000175296	1
19885	0002	3
22043	000223512	1
22044	000228152	1
22045	000244099	1
70139	00025	1
22046	000252176	1
43016	000257805	1
43240	0003	4
22047	000307639	1
6785	00031782	1
22048	000365003	1
22049	000375169	1
22050	000379839	1
22051	000381202	1
38320	0004	4
85164	0004096	1
58350	0005	2
68873	00052010	1
47808	0006	1
47354	0007	1
22052	000761481	1
42966	0008	2
54910	00080	1
22053	000828820	1
46145	0009	1
74175	00091	1
44744	001	6
52893	0010	1
50661	00101	3
48729	0011	3
10697	00118241	1
42967	0012	1
49930	0013	2
69961	0015	4
75449	00150	1
22054	001513874	1
71817	0016	1
78167	0017	1
82219	0019	1
15704	002	6
74823	002018	1
56277	0021	2
60516	0022	3
42912	0023	4
63965	0025	2
73661	002749	1
83618	0028	1
42968	003	5
43017	003135521	1
22055	003217950	1
43018	003247302	1
22056	003261043	1
37217	0032869	1
80556	0033	1
22057	003377038	1
22058	003435782	1
63866	0036	5
56564	0037	1
56815	0038	1
22059	003957162	1
84950	004	1
16506	0043	2
22060	004379279	1
22061	004492160	1
37637	0045	5
62942	0046	1
69506	0049	1
43581	005	1
45986	0051	3
42913	0053	3
78335	0054	1
83250	006	1
77815	0061	1
70121	0062	1
74176	006349152	1
72038	00688	1
39148	007	5
47985	0072	1
39363	0073	1
59898	0074	1
83476	0075	1
30121	0079	1
40989	008	1
27462	009	6
63297	0090	1
42969	0093	2
7801	00年代	3
2398	01	129
37848	010	3
42004	0101	1
71910	01032	1
23068	0104	2
56124	0105	1
25440	011	5
67052	0112	1
52985	011435	1
65159	0118	1
3677	012	2
7449	0120	21
54307	0120506533	3
54308	0120553478	3
35971	0120884381	1
54309	0120958885	3
54310	0120996319	3
36414	0123	1
58463	012500031	1
43714	013	1
22400	0131	1
9880	0138	1
75954	01393	1
10985	014	2
48695	0148	1
39765	015	3
74439	0152	1
55118	0153	1
8322	016	4
75342	0160127	1
75343	0160609	1
75344	0160613	1
17880	0167	1
39766	017	4
72161	0170	1
10986	018	7
62725	01854	1
49958	019	4
63000	0195	1
37730	0196	1
4034	02	138
17401	020	4
48476	0200	2
20187	0201	2
80500	0202	1
21968	021	1
42248	02128	1
7450	021327	2
26241	022	2
69899	0220	1
17881	0223	1
32773	0225	1
11305	0228	1
18978	0229	1
27055	024	8
47328	0244	1
82516	02495	1
34251	025	4
23555	026	2
63280	0265	1
62705	0266	1
54311	0267621023	3
39767	027	3
26006	028	2
8552	0285	1
54958	0288011194	1
39723	029	3
54277	02962	1
4589	03	230
16942	030	2
82517	0301103030	1
13074	0309	2
31532	0310	2
49717	032	1
56646	0324	1
63395	0327	1
39364	033	4
49959	034	2
39365	0344	1
54312	0344052535	3
54313	0345400965	3
54314	0345607810	3
39511	035	2
54315	0357117336	3
70157	0364553850	1
54316	0367457387	3
30803	037	5
21099	038	23
46242	039	2
19351	0392	1
79901	03933	1
74824	0395	1
3678	04	112
39606	040	2
60225	0401	1
82654	040150000	1
74032	040324	1
56647	0406	1
60183	041	1
78474	0413	1
19352	042	8
76203	0422	1
54317	0422292016	3
17882	0424	1
54318	0424833132	3
53798	043	3
83477	0438	1
3679	044	14
54319	0442300132	3
46146	045	3
72310	0450107	1
3680	046	9
34061	047	2
54320	0474193809	3
54321	0475343459	3
63396	0478	1
39768	048	7
78463	0484823	1
85374	0488903	1
54003	0490	1
85654	0491179	1
85361	0491714	1
3681	05	116
18699	050	12
52710	0501	1
61363	0504	1
59117	0505	1
56665	050plus	1
60173	051	2
39366	0511	1
26158	0517	2
43088	052	5
63444	0522	1
8745	053	11
42970	054	1
3682	055	4
80638	056	1
20266	05645	2
25914	057	8
11630	0570	2
60377	0573	1
10356	058	7
8023	059	8
20360	0592001271383	1
18979	0598	1
3683	06	150
3684	060	5
8746	061	6
82966	0617	1
85666	0619388127	1
56044	062	1
3685	063	6
73877	0632	1
3686	064	9
45536	0643	1
60951	065	2
49675	065634	1
3687	066	11
17883	0661	1
54322	0661237096	3
8024	067	14
54323	0676699654	3
3688	068	13
60174	069	5
63141	0691	1
63142	0692	1
84039	0694	1
4855	07	118
5828	070	9
83504	070410	1
54324	07043746353	3
18573	0705	2
10357	071	2
72311	0711	2
37551	071108	1
37552	0711081213002	1
78343	0714	1
73442	072	1
42971	0721	1
39367	073	2
40051	07398376	1
72165	0741	1
30276	075	2
54325	0752759861	3
54326	0752771457	3
18907	0753	3
54959	0758541414	1
39724	076	5
68874	076000	1
49211	077	3
70945	0773	2
18980	078	7
32221	079	4
74177	07962	1
79035	07１	1
4035	08	134
11051	080	18
54327	08001005382	3
54328	08003003777	3
64098	080125	1
48730	0802	1
48731	0803	2
54329	08040082257	3
74491	0805	1
32222	081	3
25700	0814	1
62740	0816	1
31345	082	5
52894	0821	1
27463	0825	1
54330	0825530443	3
22244	083	4
42972	0831	1
21592	0836	1
25701	084	6
39980	085	1
63143	0852	2
82195	0854	2
74015	0857	1
40636	086	5
10358	087	6
54331	0877482153	3
8025	088	9
3689	089	11
79036	08１	1
4314	09	104
1864	090	36
17884	0902	2
72729	09077585878	1
54332	09083522817	3
53748	0909	3
77865	091	1
42914	0911	2
82967	091104	1
3690	092	14
68967	0921	1
52798	0927	1
20361	093	12
45682	0943	1
37038	095	5
44356	0952	1
58663	095291445	1
50645	095740	1
85132	096	2
85133	0967	2
77307	0973	1
49931	098	5
60378	0988	1
74178	0994000000000543572	1
58729	0995	1
35826	0V	3
6183	0W	2
28571	0cm	11
33490	0g	2
79678	0m	1
46005	0mm	7
62741	0rz	1
54568	0t	2
36147	0v	3
72166	0w	1
58427	0℃	1
52180	0パーセント	1
75370	0件	2
50096	0倍	2
7673	0円	20
59593	0分	1
548	0時	15
34891	0歳	4
27515	0点	2
56565	0秒	2
20868	1	2
15547	1%	17
6056	1-2-3	7
61739	1-UPスタジオ	2
44756	1-e	1
46339	1.08kg	1
72914	1.1%	1
46340	1.18kg	1
22401	1.1倍	1
17269	1.2%	4
6397	1.2倍	5
34536	1.3%	3
52119	1.3倍	2
36339	1.4%	2
69821	1.4倍	2
83895	1.5%	1
14864	1.5cm	11
46292	1.5kg	1
17833	1.5倍	14
72915	1.6%	2
45537	1.6cm	1
48630	1.6mm	2
76890	1.6倍	2
43582	1.7倍	1
16	10	883
14793	10%	37
61154	10.1%	1
21969	10.19	2
49345	10.2%	1
14436	10.3%	5
56477	10.4%	1
46341	10.4mm	1
72916	10.5%	1
14437	10.6%	1
79152	10.8%	1
4468	100	324
10407	100%	70
7526	1000	101
17669	10000	8
48200	1000000	1
34270	10000人	2
17206	10000円	6
37398	10003	1
65336	1000g	1
73164	1000m	1
79933	1000t	1
69208	1000キロ	1
12521	1000万	16
33112	1000万人	1
27293	1000万円	27
3273	1000人	87
6398	1000倍	2
80220	1000億円	1
10843	1000円	49
48187	1000年	1
3094	1000枚	4
18380	1001	6
54200	10010	1
85672	1001000494945951322	1
77485	10011631471000	1
20446	1002	1
56316	1006	2
27464	1008	1
70430	1009	1
64954	100cm	3
48680	100g	2
68965	100kg	1
28098	100m	4
18273	100ml	1
38788	100m走	1
55129	100の質問	1
70733	100キロ	2
5177	100パーセント	5
64417	100メートル	1
16709	100万	21
2097	100万人	12
10284	100万円	42
720	100人	119
29862	100人に聞きました	1
6399	100件	6
29053	100位	5
292	100倍	28
53933	100億	2
71545	100億円	3
53333	100兆円	1
10090	100円	29
18151	100円ショップ	20
10231	100円均一	12
16720	100分	4
64556	100周年	4
14794	100回	11
18236	100均	20
8812	100年	22
41036	100年前	2
63940	100年後	2
47773	100日	3
22909	100時間	10
27934	100本	7
19471	100枚	7
58036	100歳	2
3274	100点	74
22583	100番	1
39670	100種	3
7527	100％	105
10987	101	25
67758	1010	1
50455	1011	2
67724	1011213	1
67725	1011214	1
34215	1012	2
51637	10132	1
51638	10139	1
51639	10140	1
51640	10143	1
51641	10145	1
48128	101506	1
71911	1016411607508	1
44132	1017	1
64955	101cm	2
53711	101km	1
75704	101万円	1
35990	101人	2
75100	101回目	1
25602	102	17
50623	1020	1
44133	1021	1
51642	10224	1
51643	10225	1
51644	10232	1
52091	1024	1
23870	10245619	1
82951	1025	1
73348	10273	1
44134	1029	2
64956	102cm	2
75042	102m	1
51596	102人	2
43089	102円	1
34537	102年	1
42725	103	14
77850	1030	1
44135	1032	1
20362	103431	1
44136	1035	1
64957	103cm	2
77416	103万円	1
77417	103万円の壁	1
40990	103人	1
22062	104	16
44033	1040	1
44137	1040万円	1
44138	1041	1
59218	104130	1
70140	10417	1
40546	1044	3
60284	1044321	1
44139	1046	1
44140	1048	2
61440	1048512982672502784	1
82318	1049	1
68474	10496	2
64958	104cm	2
43715	104人	3
55352	104日	5
41447	104時間	1
33113	105	19
22402	1050	1
44141	1050万円	1
44330	1051835	1
79445	1054	1
59661	1056	1
47317	1058円	3
44142	1059	1
71200	105cm	1
54201	105人	2
77205	105円	1
74100	105日	5
8813	106	13
44143	1064	1
44144	1065	2
57026	106647	1
72772	1069581884	1
59627	106K	1
71201	106cm	1
77418	106万円	1
43716	106人	1
41448	106時間	1
36148	107	11
50241	1077円	1
18539	107人	1
3691	108	18
51645	1080	2
25479	1080円	3
44847	1082	1
10698	10823	1
44145	1085	1
44146	1086	1
66902	1087	1
44034	1089	1
71202	108cm	1
35521	108人	3
74645	108円	3
28280	109	10
34216	1091	2
44147	1095	2
44148	1099	1
36505	109人	1
74101	109日	1
27671	10K	1
15130	10cm	6
3692	10kg	2
73662	10km	1
38789	10m	1
71930	10mm	1
81333	10t	1
46203	10か月	1
38321	10カ月	2
39634	10キロ	5
21463	10センチ	2
71886	10タイプ	1
50465	10パーセント	4
13779	10万	33
27249	10万人	17
8882	10万円	50
3095	10人	105
16196	10代	25
76172	10代前半	1
49673	10代後半	1
56566	10件	5
2868	10位	63
42802	10作品	2
19524	10倍	20
46489	10億	1
67050	10億円	3
49960	10兆円	3
18652	10円	4
1407	10分	145
7528	10分間	6
35122	10割	3
63756	10号	2
40968	10周年	5
8785	10回	42
40063	10回目	2
3275	10年	190
52488	10年ぶり	1
19525	10年前	28
3013	10年後	106
77369	10年生	1
25053	10年目	9
12751	10年連続	8
1741	10年間	30
62149	10度	2
55657	10才	1
6020	10日	43
53780	10日目	1
10844	10日間	12
1950	10時	52
15914	10時間	34
62513	10曲	1
6087	10月	273
27250	10月10日	12
8604	10月11日	11
23913	10月12日	12
15177	10月13日	7
40177	10月14日	2
11306	10月15日	10
21970	10月16日	5
27251	10月17日	6
15991	10月18日	12
21971	10月19日	13
874	10月1日	93
14242	10月20日	6
63841	10月21日	1
21972	10月22日	8
27252	10月23日	7
15178	10月24日	5
21973	10月25日	5
11307	10月26日	24
8585	10月27日	4
9311	10月28日	4
21974	10月29日	11
7380	10月2日	7
27253	10月30日	10
21975	10月31日	8
7381	10月3日	15
28267	10月4日	4
34076	10月5日	12
30277	10月6日	4
7382	10月7日	2
26096	10月8日	5
7625	10月9日	15
42016	10月上旬	2
36015	10月下旬	3
42582	10期	1
2210	10本	10
2156	10枚	8
64348	10次	2
14046	10歳	3
16197	10点	9
24231	10点満点	3
61282	10番	5
4916	10秒	26
28346	10秒間	1
54929	10種類	2
68316	10色	2
82201	10連休	1
34791	10連勝	1
65493	10連敗	1
72931	10週間	1
38568	10部	1
27162	10項目	4
1269	11	360
30404	11%	2
69679	11.2%	1
50433	11.3%	1
17885	11.4%	2
38087	11.5%	2
57996	11.7%	1
69894	11.8%	2
83896	11.9%	1
29741	110	14
22403	1100	4
23996	1100万円	2
10568	1100人	2
51615	1100円	1
21221	1101	3
51646	11013	1
51647	11014	1
51648	11015	1
44149	1103	2
54004	11061704	1
60835	11071	1
27064	110K	1
71203	110cm	1
70166	110g	1
77419	110万円	1
47751	110倍	1
38679	110分	2
82239	110周年	1
52149	110日	4
15491	110点	2
83008	110番	1
5829	111	24
22404	1110	1
38569	111000	1
44150	1110万円	1
18064	1111	3
21464	111183	1
14143	111212	1
65948	11175	1
15992	1119	3
46342	11190711	1
39553	11191	1
24850	111人	2
41449	111時間	1
22405	112	10
37297	1120	1
19143	1121	1
63674	1125	1
13876	1129	2
50242	112日	1
33491	113	6
32798	1130	1
82674	113531	1
44151	1136	1
44152	1138	1
71204	113cm	1
39100	113回	1
74140	113日	1
36149	114	10
54005	11411261	1
74027	1142	1
73085	1145	1
55206	1146	1
71205	114cm	1
56033	114人	1
49846	115	7
73226	1150	1
50243	1150円	1
70048	1152	1
8993	1159	5
78523	115人	1
47321	116	15
4364	1160	1
44153	1160万円	1
80836	1161K	1
69507	1163	1
20570	1163485119	1
30122	1167117	1
49515	116万円	1
36150	117	11
62230	117016	1
24343	1177	1
34217	1178	3
56231	1179	1
27074	117K	1
18540	117人	4
77061	117位	1
55353	117日	3
36151	118	10
44154	1182	1
73519	1186	1
71206	118cm	1
43273	118人	1
35865	118番	1
35930	119	6
44155	1192	1
44156	1195	1
61207	1197	1
59612	119K	1
74102	119日	1
83719	11:58	1
72715	11cm	3
60387	11k	1
38790	11km	1
47112	11mm	2
46343	11インチ	1
70377	11万人	3
34760	11万円	3
20875	11人	7
2869	11位	18
42803	11作品	2
61697	11億	1
85199	11円	1
6786	11分	4
54239	11号	2
38466	11回	9
51934	11回目	2
10926	11年	18
48685	11年前	3
83819	11年度	1
32293	11年目	1
27973	11年連続	1
45655	11年間	2
16059	11日	9
5383	11時	27
22245	11時間	2
1248	11月	140
33578	11月10日	7
42726	11月11日	4
15705	11月12日	6
7496	11月13日	11
22867	11月14日	9
33579	11月15日	5
25705	11月16日	5
37683	11月17日	9
23842	11月18日	3
51373	11月19日	3
21524	11月1日	9
10739	11月20日	10
11308	11月21日	7
7497	11月22日	7
3980	11月23日	15
74911	11月24日	1
40351	11月25日	7
22868	11月26日	7
22637	11月27日	12
7498	11月28日	8
7499	11月29日	8
8687	11月2日	5
22869	11月30日	11
30278	11月3日	2
20301	11月4日	4
21976	11月5日	3
21977	11月6日	7
2647	11月7日	9
13180	11月8日	8
23671	11月9日	8
7967	11月下旬	4
60536	11月中旬	4
63153	11期	1
75308	11枚	1
61968	11歳	1
64074	11点	1
74762	11番	3
68676	11種	2
79653	11色	1
65725	11連敗	1
46952	11階	1
26155	11項目	5
1270	12	382
27775	12%	1
18381	12.1%	4
38088	12.5%	2
71035	12.6%	2
22638	12.7%	1
83897	12.8%	1
76109	12.9%	3
5178	120	43
32799	1200	5
31471	120000	1
65770	1200102833	1
73663	1200km	1
34271	1200万円	3
12522	1200人	3
43270	1200円	1
27535	1200回	11
19113	1200年	1
83584	120375537209	1
83291	120376945409	1
83292	120376946209	1
83585	120377221809	1
83586	120377222609	1
83587	120377224209	1
83588	120377225109	1
83589	120377226909	1
83293	120377233109	1
83294	120377234009	1
83295	120377235809	1
83590	120377272209	1
83591	120379420309	1
83592	120379421109	1
83593	120379422009	1
83594	120379435109	1
83595	120379681809	1
83596	120379683409	1
83597	120379685109	1
43483	1204	1
33492	1206630953	1
40720	120721	1
45104	1208	1
27776	120m	2
23461	120万	1
