N0,https://www.rirekisyodo.com/study/routine-work.html,rirekisyodo,43,0.34306622,100
N1,https://www.rirekisyodo.com/study/atukainikui-buka.html,rirekisyodo,17,0.32779792,100
N2,https://www.rirekisyodo.com/study/administrative-public-health-nurse.html,rirekisyodo,0,0.3188223,100
N3,https://www.rirekisyodo.com/study/employee-travel-inventory.html,rirekisyodo,9,0.43145537,100
N4,https://www.rirekisyodo.com/study/portable-skill.html,rirekisyodo,43,0.50954396,100
N5,https://www.rirekisyodo.com/study/work-cannot.html,rirekisyodo,27,0.36948636,100
N7,https://www.rirekisyodo.com/papers/why-work-in-the-auto-industry.html,rirekisyodo,43,0.55061734,100
N8,https://www.rirekisyodo.com/study/health-work-management.html,rirekisyodo,27,0.3171618,100
N10,http://www.rirekisyodo.com/#gotop,rirekisyodo,43,0.51271963,100
N12,https://www.rirekisyodo.com/exam/reason-for-withdrawal.html,rirekisyodo,27,0.3410891,100
N14,https://www.rirekisyodo.com/study/doesnotmatter-honorific.html,rirekisyodo,26,0.5211033,100
N15,https://www.rirekisyodo.com/papers/motivefordesires-inexperienced.html,rirekisyodo,43,0.5253416,100
N20,https://www.rirekisyodo.com/job-hunt/naitei-gathering.html,rirekisyodo,8,0.36818177,100
N21,https://www.rirekisyodo.com/exam/interview-difficult.html,rirekisyodo,27,0.5744203,100
N22,https://www.rirekisyodo.com/study/email-wrongtransmission.html,rirekisyodo,26,0.4305612,100
N23,https://www.rirekisyodo.com/exam/aspiring-motive.html,rirekisyodo,43,0.4701108,100
N24,https://www.rirekisyodo.com/exam/panic-interview-escape.html,rirekisyodo,46,0.55929613,100
N25,https://www.rirekisyodo.com/job-hunt/insurance-job.html,rirekisyodo,0,0.36603028,100
N26,https://www.rirekisyodo.com/study/bussineswomen-suits.html,rirekisyodo,29,0.30978814,100
N27,https://www.rirekisyodo.com/papers/rirekisho-specialskill.html,rirekisyodo,14,0.5667759,100
N28,https://www.rirekisyodo.com/exam/interview-smile.html,rirekisyodo,46,0.6861433,100
N31,https://www.rirekisyodo.com/research/positive-action-women.html,rirekisyodo,43,0.44984922,100
N32,https://www.rirekisyodo.com/papers/childcare-motivationletter.html,rirekisyodo,43,0.56494266,100
N34,https://www.rirekisyodo.com/study/perfume-at-work.html,rirekisyodo,9,0.7241067,100
N35,https://www.rirekisyodo.com/study/hyodai-howto-use.html,rirekisyodo,26,0.3537252,100
N36,https://www.rirekisyodo.com/papers/more-info-on-resume.html,rirekisyodo,39,0.48214412,100
N37,https://www.rirekisyodo.com/job-hunt/internship-content-example.html,rirekisyodo,11,0.40918797,100
N40,https://www.rirekisyodo.com/job-hunt/naitei-cancel.html,rirekisyodo,8,0.31426448,100
N41,https://www.rirekisyodo.com/exam/reverse-interview-question.html,rirekisyodo,43,0.38834438,100
N42,https://www.rirekisyodo.com/job-hunt/job-changing-consultation.html,rirekisyodo,0,0.38292614,100
N43,https://www.rirekisyodo.com/job-hunt/hairstyle-forintern.html,rirekisyodo,9,0.42816958,100
N46,https://www.rirekisyodo.com/papers/how-to-write.html,rirekisyodo,39,0.617795,100
N47,https://www.rirekisyodo.com/study/society-sleeping-time.html,rirekisyodo,45,0.45440954,100
N48,https://www.rirekisyodo.com/study/neet-life.html,rirekisyodo,45,0.6652105,100
N49,https://www.rirekisyodo.com/research/person-work.html,rirekisyodo,11,0.59059036,100
N51,https://www.rirekisyodo.com/research/inexperienced-job-change.html,rirekisyodo,11,0.3466736,100
N52,https://www.rirekisyodo.com/papers/compassionate-on-pr.html,rirekisyodo,43,0.48645702,100
N53,https://www.rirekisyodo.com/study/word-betweenlines.html,rirekisyodo,39,0.5310003,100
N54,https://www.rirekisyodo.com/study/paidholidays-point.html,rirekisyodo,0,0.34316167,100
N55,https://www.rirekisyodo.com/job-hunt/jobhunting-idphoto.html,rirekisyodo,19,0.3438771,100
N57,https://www.rirekisyodo.com/study/severancepay-market.html,rirekisyodo,0,0.3433196,100
N58,https://www.rirekisyodo.com/#gotop,rirekisyodo,43,0.5126397,100
N60,https://www.rirekisyodo.com/study/university-neet.html,rirekisyodo,45,0.59665895,100
N61,https://www.rirekisyodo.com/papers/intership-selfpr.html,rirekisyodo,43,0.62009907,100
N62,https://www.rirekisyodo.com/job-hunt/#gotop,rirekisyodo,48,0.51,100
N63,https://www.rirekisyodo.com/papers/realestate-motivation.html,rirekisyodo,11,0.44863042,100
N64,https://www.rirekisyodo.com/papers/page/3/,rirekisyodo,43,0.7693823,100
N65,https://www.rirekisyodo.com/job-hunt/internship-report.html,rirekisyodo,43,0.4648287,100
N68,https://www.rirekisyodo.com/job-hunt/jobhunting-suit.html,rirekisyodo,9,0.342777,100
N69,https://www.rirekisyodo.com/job-hunt/others-see-me.html,rirekisyodo,43,0.734469,100
N70,https://www.rirekisyodo.com/exam/planneddispatch-interview.html,rirekisyodo,46,0.33756316,100
N71,https://www.rirekisyodo.com/job-hunt/intern-falls.html,rirekisyodo,43,0.34615445,100
N73,https://www.rirekisyodo.com/topics/honorific-tokusyu.html,rirekisyodo,26,0.608229,100
