page_id,URL,title,snippet
N0,https://www.rirekisyodo.com/study/routine-work.html,no_title,no_snippet
N1,https://www.rirekisyodo.com/study/atukainikui-buka.html,no_title,no_snippet
N2,https://www.rirekisyodo.com/study/administrative-public-health-nurse.html,no_title,no_snippet
N3,https://www.rirekisyodo.com/study/employee-travel-inventory.html,no_title,no_snippet
N4,https://www.rirekisyodo.com/study/portable-skill.html,no_title,no_snippet
N5,https://www.rirekisyodo.com/study/work-cannot.html,no_title,no_snippet
N6,https://www.rirekisyodo.com/research/cafe-parttime.html,no_title,no_snippet
N7,https://www.rirekisyodo.com/papers/why-work-in-the-auto-industry.html,no_title,no_snippet
N8,https://www.rirekisyodo.com/study/health-work-management.html,no_title,no_snippet
N9,https://www.rirekisyodo.com/study/drinking-weak.html,no_title,no_snippet
N10,http://www.rirekisyodo.com/#gotop,no_title,no_snippet
N11,https://www.rirekisyodo.com/study/suggest-english.html,no_title,no_snippet
N12,https://www.rirekisyodo.com/exam/reason-for-withdrawal.html,no_title,no_snippet
N13,https://www.rirekisyodo.com/job-hunt/naiteicancel-thereason.html,no_title,no_snippet
N14,https://www.rirekisyodo.com/study/doesnotmatter-honorific.html,no_title,no_snippet
N15,https://www.rirekisyodo.com/papers/motivefordesires-inexperienced.html,no_title,no_snippet
N16,https://www.rirekisyodo.com/topics/taishoku-tokusyu.html,no_title,no_snippet
N17,https://www.rirekisyodo.com/job-hunt/careerchange-time.html,no_title,no_snippet
N18,https://www.rirekisyodo.com/research/page/3/,no_title,no_snippet
N19,https://www.rirekisyodo.com/study/jiko-may.html,no_title,no_snippet
N20,https://www.rirekisyodo.com/job-hunt/naitei-gathering.html,no_title,no_snippet
N21,https://www.rirekisyodo.com/exam/interview-difficult.html,no_title,no_snippet
N22,https://www.rirekisyodo.com/study/email-wrongtransmission.html,no_title,no_snippet
N23,https://www.rirekisyodo.com/exam/aspiring-motive.html,no_title,no_snippet
N24,https://www.rirekisyodo.com/exam/panic-interview-escape.html,no_title,no_snippet
N25,https://www.rirekisyodo.com/job-hunt/insurance-job.html,no_title,no_snippet
N26,https://www.rirekisyodo.com/study/bussineswomen-suits.html,no_title,no_snippet
N27,https://www.rirekisyodo.com/papers/rirekisho-specialskill.html,no_title,no_snippet
N28,https://www.rirekisyodo.com/exam/interview-smile.html,no_title,no_snippet
N29,https://www.rirekisyodo.com/papers/syokureki-download.html,no_title,no_snippet
N30,https://www.rirekisyodo.com/study/excel-display.html,no_title,no_snippet
N31,https://www.rirekisyodo.com/research/positive-action-women.html,no_title,no_snippet
N32,https://www.rirekisyodo.com/papers/childcare-motivationletter.html,no_title,no_snippet
N33,https://www.rirekisyodo.com/study/things-to-do-after-work.html,no_title,no_snippet
N34,https://www.rirekisyodo.com/study/perfume-at-work.html,no_title,no_snippet
N35,https://www.rirekisyodo.com/study/hyodai-howto-use.html,no_title,no_snippet
N36,https://www.rirekisyodo.com/papers/more-info-on-resume.html,no_title,no_snippet
N37,https://www.rirekisyodo.com/job-hunt/internship-content-example.html,no_title,no_snippet
N38,https://www.rirekisyodo.com/study/drinking-party-menu.html,no_title,no_snippet
N39,https://www.rirekisyodo.com/study/work-quotation.html,no_title,no_snippet
N40,https://www.rirekisyodo.com/job-hunt/naitei-cancel.html,no_title,no_snippet
N41,https://www.rirekisyodo.com/exam/reverse-interview-question.html,no_title,no_snippet
N42,https://www.rirekisyodo.com/job-hunt/job-changing-consultation.html,no_title,no_snippet
N43,https://www.rirekisyodo.com/job-hunt/hairstyle-forintern.html,no_title,no_snippet
N44,https://www.rirekisyodo.com/study/jiko-august.html,no_title,no_snippet
N45,https://www.rirekisyodo.com/study/overtime-zero.html,no_title,no_snippet
N46,https://www.rirekisyodo.com/papers/how-to-write.html,no_title,no_snippet
N47,https://www.rirekisyodo.com/study/society-sleeping-time.html,no_title,no_snippet
N48,https://www.rirekisyodo.com/study/neet-life.html,no_title,no_snippet
N49,https://www.rirekisyodo.com/research/person-work.html,no_title,no_snippet
N50,https://www.rirekisyodo.com/study/abroad-transfer-farewell-gift.html,no_title,no_snippet
N51,https://www.rirekisyodo.com/research/inexperienced-job-change.html,no_title,no_snippet
N52,https://www.rirekisyodo.com/papers/compassionate-on-pr.html,no_title,no_snippet
N53,https://www.rirekisyodo.com/study/word-betweenlines.html,no_title,no_snippet
N54,https://www.rirekisyodo.com/study/paidholidays-point.html,no_title,no_snippet
N55,https://www.rirekisyodo.com/job-hunt/jobhunting-idphoto.html,no_title,no_snippet
N56,https://www.rirekisyodo.com/study/confidential.html,no_title,no_snippet
N57,https://www.rirekisyodo.com/study/severancepay-market.html,no_title,no_snippet
N58,https://www.rirekisyodo.com/#gotop,no_title,no_snippet
N59,https://www.rirekisyodo.com/study/home-tax-benefits.html,no_title,no_snippet
N60,https://www.rirekisyodo.com/study/university-neet.html,no_title,no_snippet
N61,https://www.rirekisyodo.com/papers/intership-selfpr.html,no_title,no_snippet
N62,https://www.rirekisyodo.com/job-hunt/#gotop,no_title,no_snippet
N63,https://www.rirekisyodo.com/papers/realestate-motivation.html,no_title,no_snippet
N64,https://www.rirekisyodo.com/papers/page/3/,no_title,no_snippet
N65,https://www.rirekisyodo.com/job-hunt/internship-report.html,no_title,no_snippet
N66,https://www.rirekisyodo.com/study/ground-staff.html,no_title,no_snippet
N67,https://www.rirekisyodo.com/study/internal-events.html,no_title,no_snippet
N68,https://www.rirekisyodo.com/job-hunt/jobhunting-suit.html,no_title,no_snippet
N69,https://www.rirekisyodo.com/job-hunt/others-see-me.html,no_title,no_snippet
N70,https://www.rirekisyodo.com/exam/planneddispatch-interview.html,no_title,no_snippet
N71,https://www.rirekisyodo.com/job-hunt/intern-falls.html,no_title,no_snippet
N72,https://www.rirekisyodo.com/study/flight-attendant.html,no_title,no_snippet
N73,https://www.rirekisyodo.com/topics/honorific-tokusyu.html,no_title,no_snippet
N74,https://www.rirekisyodo.com/study/female-entrepreneur-success.html,no_title,no_snippet
N75,https://www.rirekisyodo.com/study/how-to-deal-with-moral-harassment.html,no_title,no_snippet
N76,https://www.rirekisyodo.com/study/insurance-procedure.html,no_title,no_snippet
N77,https://www.rirekisyodo.com/job-hunt/naitei-houkoku.html,no_title,no_snippet
N78,https://www.rirekisyodo.com/papers/rirekisyo-career-parttimejob.html,no_title,no_snippet
N79,https://www.rirekisyodo.com/study/nanitozo.html,no_title,no_snippet
N80,https://www.rirekisyodo.com/papers/railway-jobs-hunting.html,no_title,no_snippet
N81,https://www.rirekisyodo.com/research/start-business.html,no_title,no_snippet
N82,https://www.rirekisyodo.com/study/bicycle-commuting.html,no_title,no_snippet
N83,https://www.rirekisyodo.com/job-hunt/internship-thankyouletter.html,no_title,no_snippet
N84,https://www.rirekisyodo.com/research/workthatsuitable-foryourself.html,no_title,no_snippet
N85,https://www.rirekisyodo.com/study/interpretation-job-description.html,no_title,no_snippet
N86,https://www.rirekisyodo.com/research/paycheck.html,no_title,no_snippet
N87,https://www.rirekisyodo.com/research/quit-job-by-human-relations-problems.html,no_title,no_snippet
N88,https://www.rirekisyodo.com/study/effort-quotation.html,no_title,no_snippet
N89,https://www.rirekisyodo.com/study/work-atmosphere.html,no_title,no_snippet
N90,https://www.rirekisyodo.com/study/respectedword-mitekudasai.html,no_title,no_snippet
N91,https://www.rirekisyodo.com/study/hate-yourself.html,no_title,no_snippet
N92,https://www.rirekisyodo.com/research/freelance-work.html,no_title,no_snippet
N93,https://www.rirekisyodo.com/job-hunt/nocircle-alternative.html,no_title,no_snippet
N94,https://www.rirekisyodo.com/study/candidate-support-system.html,no_title,no_snippet
N95,https://www.rirekisyodo.com/job-hunt/group-work.html,no_title,no_snippet
N96,https://www.rirekisyodo.com/study/word-contents.html,no_title,no_snippet
N97,https://www.rirekisyodo.com/job-hunt/entrysheet-attachedpaper.html,no_title,no_snippet
N98,https://www.rirekisyodo.com/research/what-is-diversity.html,no_title,no_snippet
N99,https://www.rirekisyodo.com/study/hikiukeru-howto-use.html,no_title,no_snippet
N100,https://www.rirekisyodo.com/papers/volunteer-howtopr.html,no_title,no_snippet
N101,https://www.rirekisyodo.com/study/eart-tired.html,no_title,no_snippet
N102,https://www.rirekisyodo.com/topics/entrysheet-tokusyu.html,no_title,no_snippet
N103,https://www.rirekisyodo.com/study/shift-regulations.html,no_title,no_snippet
N104,https://www.rirekisyodo.com/job-hunt/job-hunting-cram-school.html,no_title,no_snippet
N105,https://www.rirekisyodo.com/study/trouble-holding-a-job.html,no_title,no_snippet
N106,https://www.rirekisyodo.com/study/human-relations-tired.html,no_title,no_snippet
N107,https://www.rirekisyodo.com/job-hunt/jobhunting-pants-suit.html,no_title,no_snippet
N108,https://www.rirekisyodo.com/study/present-at-first-salary.html,no_title,no_snippet
N109,https://www.rirekisyodo.com/exam/jobhunting-writtentest.html,no_title,no_snippet
N110,https://www.rirekisyodo.com/study/new-employees-suit.html,no_title,no_snippet
